client,Lobbyist,Quarterly return period
Ennahdha (Tunisian political party),Burson Cohn & Wolfe,July to September 2015
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,July to September 2017
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,July to September 2018
Ennahdha (Tunisian political party),Burson Cohn & Wolfe,October to December 2015
Ennahdha (Tunisian Political Party),Burson Cohn & Wolfe,October to December 2017
Eric Evans Memorial Trust,Burson Cohn & Wolfe,April to June 2017
Eric Evans Memorial Trust,Burson Cohn & Wolfe,January to March 2018
Eric Evans Memorial Trust,Burson Cohn & Wolfe,July to September 2016
Eric Evans Memorial Trust,Burson Cohn & Wolfe,October to December 2016
Eric Evans Memorial Trust,Burson Cohn & Wolfe,October to December 2017
FIFA,Burson Cohn & Wolfe,January to March 2016
FIFA,Burson Cohn & Wolfe,October to December 2015
Forum of Private Business,Burson Cohn & Wolfe,January to March 2015
Genomic Health,Burson Cohn & Wolfe,April to June 2018
Genomic Health,Burson Cohn & Wolfe,January to March 2018
Genomic Health,Burson Cohn & Wolfe,July to September 2017
Genomic Health,Burson Cohn & Wolfe,October to December 2015
Genomic Health,Burson Cohn & Wolfe,October to December 2016
Gilead Sciences,Burson Cohn & Wolfe,April to June 2016
Gilead Sciences,Burson Cohn & Wolfe,July to September 2016
Gilead Sciences,Burson Cohn & Wolfe,October to December 2016
Global Infrastructure Investor Association,Burson Cohn & Wolfe,July to September 2016
Global Infrastructure Investor Association,Burson Cohn & Wolfe,October to December 2016
Go Run For Fun,Burson Cohn & Wolfe,April to June 2015
Go-Ahead Group PLC,Burson Cohn & Wolfe,April to June 2018
Go-Ahead Group PLC,Burson Cohn & Wolfe,January to March 2018
Go-Ahead Group PLC,Burson Cohn & Wolfe,July to September 2018
Go-Ahead Group PLC,Burson Cohn & Wolfe,October to December 2017
Government of Iceland,Burson Cohn & Wolfe,April to June 2017
Government of Iceland,Burson Cohn & Wolfe,January to March 2015
Government of Iceland,Burson Cohn & Wolfe,July to September 2018
Government of Iceland,Burson Cohn & Wolfe,October to December 2016
HCA Healthcare UK,Burson Cohn & Wolfe,April to June 2016
HCA International,Burson Cohn & Wolfe,April to June 2015
HCA International,Burson Cohn & Wolfe,January to March 2015
HCA International,Burson Cohn & Wolfe,January to March 2016
HCA International,Burson Cohn & Wolfe,July to September 2015
HCA International,Burson Cohn & Wolfe,October to December 2015
INEOS,Burson Cohn & Wolfe,April to June 2015
INEOS,Burson Cohn & Wolfe,April to June 2016
INEOS,Burson Cohn & Wolfe,April to June 2017
INEOS,Burson Cohn & Wolfe,January to March 2015
INEOS,Burson Cohn & Wolfe,January to March 2016
INEOS,Burson Cohn & Wolfe,January to March 2017
INEOS,Burson Cohn & Wolfe,January to March 2018
INEOS,Burson Cohn & Wolfe,July to September 2015
INEOS,Burson Cohn & Wolfe,July to September 2016
INEOS,Burson Cohn & Wolfe,July to September 2017
INEOS,Burson Cohn & Wolfe,October to December 2015
INEOS,Burson Cohn & Wolfe,October to December 2016
INEOS,Burson Cohn & Wolfe,October to December 2017
Initiative for a Competitive Online Marketplace (ICOMP),Burson Cohn & Wolfe,April to June 2015
Initiative for a Competitive Online Marketplace (ICOMP),Burson Cohn & Wolfe,January to March 2015
Initiative for a Competitive Online Marketplace (ICOMP),Burson Cohn & Wolfe,January to March 2016
Initiative for a Competitive Online Marketplace (ICOMP),Burson Cohn & Wolfe,July to September 2015
Initiative for a Competitive Online Marketplace (ICOMP),Burson Cohn & Wolfe,October to December 2015
Islamic Military Counter-Terrorism Coalition,Burson Cohn & Wolfe,April to June 2017
Lendlease,Burson Cohn & Wolfe,April to June 2018
Lendlease,Burson Cohn & Wolfe,July to September 2018
London Borough of Camden,Burson Cohn & Wolfe,April to June 2015
London Borough of Camden,Burson Cohn & Wolfe,January to March 2015
London Borough of Camden,Burson Cohn & Wolfe,July to September 2015
MHP SE,Burson Cohn & Wolfe,July to September 2018
Omran Burkhes,Burson Cohn & Wolfe,October to December 2017
The Daily Mile,Burson Cohn & Wolfe,April to June 2018
The Daily Mile Foundation,Burson Cohn & Wolfe,April to June 2016
The Daily Mile Foundation,Burson Cohn & Wolfe,January to March 2017
The Daily Mile Foundation,Burson Cohn & Wolfe,January to March 2018
The Daily Mile Foundation,Burson Cohn & Wolfe,July to September 2016
The Daily Mile Foundation,Burson Cohn & Wolfe,July to September 2017
The Daily Mile Foundation,Burson Cohn & Wolfe,October to December 2016
The Daily Mile Foundation,Burson Cohn & Wolfe,October to December 2017
Walgreens Boots Alliance,Burson Cohn & Wolfe,July to September 2017
Ashfield Land,Camargue Group Ltd,January to March 2018
Ashfield Land,Camargue Group Ltd,July to September 2017
Ashfield Land,Camargue Group Ltd,July to September 2018
Ashfield Land,Camargue Group Ltd,October to December 2017
Gazeley,Camargue Group Ltd,January to March 2018
National Grid,Camargue Group Ltd,July to September 2017
British Association of Social Workers,Campaign Collective,October to December 2017
Evermore Wellbeing,Campaign Collective,July to September 2017
Evermore Wellbeing,Campaign Collective,October to December 2017
Alpha Plus Group,Cavendish Place Communications Limited,January to March 2018
Alpha Plus Group,Cavendish Place Communications Limited,July to September 2018
Alpha Plus Group,Cavendish Place Communications Limited,October to December 2017
American Express Global Business Travel,Cavendish Place Communications Limited,April to June 2017
American Express Global Business Travel,Cavendish Place Communications Limited,April to June 2018
American Express Global Business Travel,Cavendish Place Communications Limited,January to March 2017
American Express Global Business Travel,Cavendish Place Communications Limited,January to March 2018
American Express Global Business Travel,Cavendish Place Communications Limited,July to September 2017
American Express Global Business Travel,Cavendish Place Communications Limited,July to September 2018
American Express Global Business Travel,Cavendish Place Communications Limited,October to December 2016
American Express Global Business Travel,Cavendish Place Communications Limited,October to December 2017
Arvato,Cavendish Place Communications Limited,April to June 2017
Arvato,Cavendish Place Communications Limited,April to June 2018
Arvato,Cavendish Place Communications Limited,January to March 2015
Arvato,Cavendish Place Communications Limited,January to March 2017
Arvato,Cavendish Place Communications Limited,January to March 2018
Arvato,Cavendish Place Communications Limited,July to September 2017
Arvato,Cavendish Place Communications Limited,July to September 2018
Arvato,Cavendish Place Communications Limited,October to December 2017
Association for Project Safety,Cavendish Place Communications Limited,April to June 2015
Association for Project Safety,Cavendish Place Communications Limited,April to June 2016
Association for Project Safety,Cavendish Place Communications Limited,January to March 2015
Association for Project Safety,Cavendish Place Communications Limited,January to March 2016
Association for Project Safety,Cavendish Place Communications Limited,January to March 2018
Association for Project Safety,Cavendish Place Communications Limited,July to September 2015
Association for Project Safety,Cavendish Place Communications Limited,July to September 2016
Association for Project Safety,Cavendish Place Communications Limited,July to September 2018
Association for Project Safety,Cavendish Place Communications Limited,October to December 2015
Aster Group,Cavendish Place Communications Limited,April to June 2017
Aster Group,Cavendish Place Communications Limited,April to June 2018
Aster Group,Cavendish Place Communications Limited,January to March 2018
Aster Group,Cavendish Place Communications Limited,July to September 2017
Aster Group,Cavendish Place Communications Limited,July to September 2018
Aster Group,Cavendish Place Communications Limited,October to December 2017
Auriens,Cavendish Place Communications Limited,April to June 2017
Auriens,Cavendish Place Communications Limited,January to March 2018
Auriens,Cavendish Place Communications Limited,July to September 2017
Auriens,Cavendish Place Communications Limited,July to September 2018
Auriens,Cavendish Place Communications Limited,October to December 2017
British Marine,Cavendish Place Communications Limited,January to March 2018
British Marine,Cavendish Place Communications Limited,July to September 2018
British Marine,Cavendish Place Communications Limited,October to December 2017
Canal & River Trust,Cavendish Place Communications Limited,April to June 2018
Canal & River Trust,Cavendish Place Communications Limited,January to March 2018
Canal & River Trust,Cavendish Place Communications Limited,July to September 2017
Canal & River Trust,Cavendish Place Communications Limited,July to September 2018
Canal & River Trust,Cavendish Place Communications Limited,October to December 2017
Close Brothers Group,Cavendish Place Communications Limited,April to June 2017
Close Brothers Group,Cavendish Place Communications Limited,January to March 2018
Close Brothers Group,Cavendish Place Communications Limited,July to September 2017
Close Brothers Group,Cavendish Place Communications Limited,July to September 2018
Close Brothers Group,Cavendish Place Communications Limited,October to December 2017
Conserve the Chilterns and Countryside,Cavendish Place Communications Limited,January to March 2015
Conserve the Chilterns and Countryside,Cavendish Place Communications Limited,January to March 2018
Conserve the Chilterns and Countryside,Cavendish Place Communications Limited,July to September 2018
Crest Nicholson,Cavendish Place Communications Limited,April to June 2017
Crest Nicholson,Cavendish Place Communications Limited,April to June 2018
Crest Nicholson,Cavendish Place Communications Limited,January to March 2016
Crest Nicholson,Cavendish Place Communications Limited,January to March 2018
Crest Nicholson,Cavendish Place Communications Limited,July to September 2015
Crest Nicholson,Cavendish Place Communications Limited,July to September 2017
Crest Nicholson,Cavendish Place Communications Limited,July to September 2018
Crest Nicholson,Cavendish Place Communications Limited,October to December 2017
Curzon Cinemas,Cavendish Place Communications Limited,April to June 2015
Curzon Cinemas,Cavendish Place Communications Limited,April to June 2017
Curzon Cinemas,Cavendish Place Communications Limited,April to June 2018
Curzon Cinemas,Cavendish Place Communications Limited,January to March 2018
Curzon Cinemas,Cavendish Place Communications Limited,July to September 2017
Curzon Cinemas,Cavendish Place Communications Limited,July to September 2018
Curzon Cinemas,Cavendish Place Communications Limited,October to December 2017
Delancey,Cavendish Place Communications Limited,April to June 2018
Delancey,Cavendish Place Communications Limited,January to March 2018
