client,Lobbyist,Quarterly return period
Company Shop,Political Lobbying & Media Relations Limited,October to December 2017
Crest Nicholson,Political Lobbying & Media Relations Limited,January to March 2018
Dollar Financial,Political Lobbying & Media Relations Limited,April to June 2015
Dollar Financial,Political Lobbying & Media Relations Limited,July to September 2015
Dollar UK,Political Lobbying & Media Relations Limited,April to June 2016
Dollar UK,Political Lobbying & Media Relations Limited,January to March 2016
Elecosoft,Political Lobbying & Media Relations Limited,October to December 2015
Ella's Kitchen,Political Lobbying & Media Relations Limited,January to March 2015
Epilepsy Society,Political Lobbying & Media Relations Limited,July to September 2015
ExCel London,Political Lobbying & Media Relations Limited,April to June 2016
ExCeL London,Political Lobbying & Media Relations Limited,January to March 2016
Farming APPG,Political Lobbying & Media Relations Limited,April to June 2018
Farming APPG,Political Lobbying & Media Relations Limited,January to March 2018
Farming APPG,Political Lobbying & Media Relations Limited,July to September 2018
Gumtree,Political Lobbying & Media Relations Limited,April to June 2017
Gumtree,Political Lobbying & Media Relations Limited,October to December 2017
Hampshire Care Association,Political Lobbying & Media Relations Limited,January to March 2018
Hannah Weller,Political Lobbying & Media Relations Limited,January to March 2015
HC-One,Political Lobbying & Media Relations Limited,April to June 2016
HC-One,Political Lobbying & Media Relations Limited,April to June 2018
HC-One,Political Lobbying & Media Relations Limited,January to March 2015
HC-One,Political Lobbying & Media Relations Limited,January to March 2018
HC-One,Political Lobbying & Media Relations Limited,July to September 2017
HC-One,Political Lobbying & Media Relations Limited,July to September 2018
HC-One,Political Lobbying & Media Relations Limited,October to December 2017
Honeywell,Political Lobbying & Media Relations Limited,July to September 2015
HRS Energy,Political Lobbying & Media Relations Limited,January to March 2017
Independent Schools Council,Political Lobbying & Media Relations Limited,July to September 2017
Industry Group for responsible Gambling (IGRG),Political Lobbying & Media Relations Limited,October to December 2017
Institute of Animal Technology (IAT),Political Lobbying & Media Relations Limited,April to June 2015
InvestIN Education,Political Lobbying & Media Relations Limited,October to December 2017
Johnson Matthey Plc,Political Lobbying & Media Relations Limited,July to September 2015
Landvest,Political Lobbying & Media Relations Limited,January to March 2018
Less Survivable Cancers Taskforce,Political Lobbying & Media Relations Limited,July to September 2018
Lightwood Strategic,Political Lobbying & Media Relations Limited,April to June 2016
Lightwood Strategic,Political Lobbying & Media Relations Limited,January to March 2016
London City Airport,Political Lobbying & Media Relations Limited,April to June 2016
London City Airport,Political Lobbying & Media Relations Limited,April to June 2017
London City Airport,Political Lobbying & Media Relations Limited,January to March 2015
London City Airport,Political Lobbying & Media Relations Limited,January to March 2016
London City Airport,Political Lobbying & Media Relations Limited,January to March 2018
London City Airport,Political Lobbying & Media Relations Limited,July to September 2015
London City Airport,Political Lobbying & Media Relations Limited,July to September 2016
London City Airport,Political Lobbying & Media Relations Limited,July to September 2017
London City Airport,Political Lobbying & Media Relations Limited,October to December 2015
Mobile UK,Political Lobbying & Media Relations Limited,April to June 2017
Moore Blatch,Political Lobbying & Media Relations Limited,April to June 2017
National Counselling Society,Political Lobbying & Media Relations Limited,July to September 2018
NCFE,Political Lobbying & Media Relations Limited,April to June 2016
NCFE,Political Lobbying & Media Relations Limited,July to September 2018
NCFE/CACHE,Political Lobbying & Media Relations Limited,January to March 2017
NCFE/CACHE,Political Lobbying & Media Relations Limited,July to September 2016
Newham Community Schools Trust,Political Lobbying & Media Relations Limited,April to June 2016
Newham Community Schools Trust,Political Lobbying & Media Relations Limited,January to March 2016
Newham Community Schools Trust,Political Lobbying & Media Relations Limited,July to September 2017
Newhham Community Schools Trust,Political Lobbying & Media Relations Limited,July to September 2016
Newhham Community Schools Trust,Political Lobbying & Media Relations Limited,October to December 2017
Officers? Association,Political Lobbying & Media Relations Limited,January to March 2018
Officers? Association,Political Lobbying & Media Relations Limited,October to December 2017
One North East London (1NE),Political Lobbying & Media Relations Limited,January to March 2015
ONVU,Political Lobbying & Media Relations Limited,October to December 2017
Ormiston Academies Trust,Political Lobbying & Media Relations Limited,April to June 2015
Ormiston Academies Trust,Political Lobbying & Media Relations Limited,January to March 2018
Ormiston Academies Trust,Political Lobbying & Media Relations Limited,July to September 2017
Ormiston Academies Trust,Political Lobbying & Media Relations Limited,July to September 2018
Oxford University Press,Political Lobbying & Media Relations Limited,April to June 2017
Oxford University Press,Political Lobbying & Media Relations Limited,October to December 2016
Peter Jones Foundation,Political Lobbying & Media Relations Limited,April to June 2018
Push Doctor,Political Lobbying & Media Relations Limited,January to March 2018
Push Doctor,Political Lobbying & Media Relations Limited,October to December 2017
Q-Bital,Political Lobbying & Media Relations Limited,July to September 2018
Q-bital and Vanguard Healthcare,Political Lobbying & Media Relations Limited,April to June 2018
Reckitt Benckiser,Political Lobbying & Media Relations Limited,January to March 2018
Reckitt Benckiser,Political Lobbying & Media Relations Limited,July to September 2018
SafeToNet,Political Lobbying & Media Relations Limited,April to June 2017
SafeToNet,Political Lobbying & Media Relations Limited,July to September 2017
Speak Up!,Political Lobbying & Media Relations Limited,October to December 2015
Stanley Estate,Political Lobbying & Media Relations Limited,January to March 2018
Tetronics International,Political Lobbying & Media Relations Limited,April to June 2015
Tetronics International,Political Lobbying & Media Relations Limited,January to March 2015
The Bingo Association Limited,Political Lobbying & Media Relations Limited,April to June 2016
The Bingo Association Limited,Political Lobbying & Media Relations Limited,April to June 2018
The Bingo Association Limited,Political Lobbying & Media Relations Limited,January to March 2015
The Bingo Association Limited,Political Lobbying & Media Relations Limited,January to March 2016
The Bingo Association Limited,Political Lobbying & Media Relations Limited,January to March 2018
The Bingo Association Limited,Political Lobbying & Media Relations Limited,July to September 2015
The Bingo Association Limited,Political Lobbying & Media Relations Limited,July to September 2016
The Bingo Association Limited,Political Lobbying & Media Relations Limited,July to September 2017
The Bingo Association Limited,Political Lobbying & Media Relations Limited,July to September 2018
The Bingo Association Limited,Political Lobbying & Media Relations Limited,October to December 2016
The Bingo Association Limited,Political Lobbying & Media Relations Limited,October to December 2017
The Conservation Volunteers,Political Lobbying & Media Relations Limited,January to March 2015
The Conservation Volunteers,Political Lobbying & Media Relations Limited,January to March 2016
The Conservation Volunteers,Political Lobbying & Media Relations Limited,July to September 2015
The Conservation Volunteers,Political Lobbying & Media Relations Limited,July to September 2016
The Conservation Volunteers,Political Lobbying & Media Relations Limited,October to December 2015
The National Counselling Society,Political Lobbying & Media Relations Limited,October to December 2016
The Shaw Mind Foundation,Political Lobbying & Media Relations Limited,October to December 2017
The Week Junior,Political Lobbying & Media Relations Limited,October to December 2017
Thinking Schools Academy Trust (TSAT),Political Lobbying & Media Relations Limited,October to December 2017
Thomas Pocklington Trust,Political Lobbying & Media Relations Limited,January to March 2017
Tidal Electric Limited,Political Lobbying & Media Relations Limited,April to June 2018
Tidal Electric Limited,Political Lobbying & Media Relations Limited,July to September 2018
Triple P,Political Lobbying & Media Relations Limited,April to June 2017
Triple P,Political Lobbying & Media Relations Limited,April to June 2018
Triple P,Political Lobbying & Media Relations Limited,January to March 2017
Triple P,Political Lobbying & Media Relations Limited,January to March 2018
Triple P,Political Lobbying & Media Relations Limited,July to September 2017
Triple P,Political Lobbying & Media Relations Limited,July to September 2018
Triple P,Political Lobbying & Media Relations Limited,October to December 2017
UCL Institute of Education,Political Lobbying & Media Relations Limited,July to September 2017
Vision Homes Lambeth,Political Lobbying & Media Relations Limited,July to September 2017
Vision Homes Lambeth,Political Lobbying & Media Relations Limited,October to December 2017
Cepheid,Portcullis Research Ltd,October to December 2015
CSL Behring,Portcullis Research Ltd,October to December 2015
DP Rail Limited,Portcullis Research Ltd,April to June 2016
DP Rail Limited,Portcullis Research Ltd,April to June 2018
DP Rail Limited,Portcullis Research Ltd,January to March 2016
DP Rail Limited,Portcullis Research Ltd,January to March 2017
DP Rail Limited,Portcullis Research Ltd,January to March 2018
DP Rail Limited,Portcullis Research Ltd,July to September 2015
DP Rail Limited,Portcullis Research Ltd,July to September 2016
DP Rail Limited,Portcullis Research Ltd,July to September 2017
DP Rail Limited,Portcullis Research Ltd,July to September 2018
DP Rail Limited,Portcullis Research Ltd,October to December 2016
DP Rail Limited,Portcullis Research Ltd,October to December 2017
Eric Evans Memorial Trust,Portcullis Research Ltd,April to June 2015
Eric Evans Memorial Trust,Portcullis Research Ltd,April to June 2016
Eric Evans Memorial Trust,Portcullis Research Ltd,January to March 2015
Eric Evans Memorial Trust,Portcullis Research Ltd,October to December 2015
InterGen,Portcullis Research Ltd,January to March 2017
Station-to-Station - Queen's Celebration,Portcullis Research Ltd,April to June 2016
Takeda,Portcullis Research Ltd,January to March 2015
UK Energy Strategies Limited,Portcullis Research Ltd,April to June 2018
UK Energy Strategies Limited,Portcullis Research Ltd,January to March 2018
UK Energy Strategies Limited,Portcullis Research Ltd,July to September 2018
UK Energy Strategies Limited,Portcullis Research Ltd,October to December 2017
UK Onshore Oil and Gas (UKOOG),Portcullis Research Ltd,July to September 2017
Apple,Portland PR Limited,April to June 2018
Apple,Portland PR Limited,January to March 2016
Apple,Portland PR Limited,January to March 2018
Apple,Portland PR Limited,July to September 2018
Apple,Portland PR Limited,October to December 2015
Association of British Bookmakers (ABB),Portland PR Limited,January to March 2015
BAE Systems,Portland PR Limited,April to June 2015
BAE Systems,Portland PR Limited,April to June 2018
BAE Systems,Portland PR Limited,January to March 2015
BAE Systems,Portland PR Limited,July to September 2015
BAE Systems,Portland PR Limited,July to September 2018
Biomarin,Portland PR Limited,July to September 2018
British Plastics Federation,Portland PR Limited,April to June 2018
British Plastics Federation,Portland PR Limited,January to March 2018
British Plastics Federation,Portland PR Limited,July to September 2018
BUPA UK,Portland PR Limited,July to September 2015
Cavity Insulation Guarantee Agency Ltd (CIGA),Portland PR Limited,January to March 2015
Diageo,Portland PR Limited,July to September 2015
Diageo,Portland PR Limited,October to December 2017
EDF Energy,Portland PR Limited,April to June 2018
EDF Energy,Portland PR Limited,January to March 2018
EDF Energy,Portland PR Limited,July to September 2018
EDF Energy,Portland PR Limited,October to December 2017
Funding Circle,Portland PR Limited,April to June 2017
Funding Circle,Portland PR Limited,April to June 2018
Funding Circle,Portland PR Limited,January to March 2018
Funding Circle,Portland PR Limited,July to September 2017
Funding Circle,Portland PR Limited,July to September 2018
Funding Circle,Portland PR Limited,October to December 2016
Funding Circle,Portland PR Limited,October to December 2017
Heathrow,Portland PR Limited,July to September 2018
Heathrow Airport,Portland PR Limited,April to June 2018
Heathrow Airport,Portland PR Limited,January to March 2018
Heathrow Airport,Portland PR Limited,October to December 2017
Heathrow Airport Limited,Portland PR Limited,April to June 2015
Heathrow Airport Limited,Portland PR Limited,April to June 2016
Heathrow Airport Limited,Portland PR Limited,April to June 2017
Heathrow Airport Limited,Portland PR Limited,January to March 2015
Heathrow Airport Limited,Portland PR Limited,January to March 2016
Heathrow Airport Limited,Portland PR Limited,July to September 2015
Heathrow Airport Limited,Portland PR Limited,July to September 2016
Heathrow Airport Limited,Portland PR Limited,July to September 2017
Heathrow Airport Limited,Portland PR Limited,October to December 2015
Heathrow Airport Limited,Portland PR Limited,October to December 2016
Institute of Fundraising,Portland PR Limited,October to December 2015
Jet2.com,Portland PR Limited,October to December 2015
John Lewis Partnership,Portland PR Limited,October to December 2017
Johnson Matthey,Portland PR Limited,April to June 2018
Johnson Matthey,Portland PR Limited,January to March 2018
Johnson Matthey,Portland PR Limited,July to September 2018
Kingspan,Portland PR Limited,October to December 2017
Livi,Portland PR Limited,July to September 2018
McDonald's,Portland PR Limited,April to June 2017
McDonald's,Portland PR Limited,July to September 2017
Motorola Solutions,Portland PR Limited,April to June 2015
Motorola Solutions,Portland PR Limited,January to March 2016
Motorola Solutions,Portland PR Limited,July to September 2015
Motorola Solutions,Portland PR Limited,October to December 2015
Network Rail,Portland PR Limited,April to June 2015
Network Rail,Portland PR Limited,January to March 2015
Network Rail,Portland PR Limited,July to September 2015
Network Rail,Portland PR Limited,July to September 2016
Network Rail,Portland PR Limited,October to December 2015
Network Rail,Portland PR Limited,October to December 2016
Novartis,Portland PR Limited,July to September 2018
Orion Shepherds Bush Ltd,Portland PR Limited,January to March 2015
Pact,Portland PR Limited,January to March 2016
Pact,Portland PR Limited,October to December 2015
Pfizer,Portland PR Limited,April to June 2016
Pfizer,Portland PR Limited,April to June 2017
Pfizer,Portland PR Limited,January to March 2015
Pfizer,Portland PR Limited,July to September 2016
Pfizer,Portland PR Limited,July to September 2017
Pfizer,Portland PR Limited,July to September 2018
Pfizer,Portland PR Limited,October to December 2016
Pfizer,Portland PR Limited,October to December 2017
Post Office,Portland PR Limited,April to June 2017
Post Office,Portland PR Limited,April to June 2018
Post Office,Portland PR Limited,January to March 2018
Post Office,Portland PR Limited,July to September 2017
Post Office,Portland PR Limited,October to December 2016
Post Office,Portland PR Limited,October to December 2017
Snap,Portland PR Limited,October to December 2017
The All England Lawn Tennis & Croquet Club,Portland PR Limited,July to September 2018
The Government of Qatar,Portland PR Limited,April to June 2015
The National Farmers' Union,Portland PR Limited,January to March 2018
The National Farmers' Union,Portland PR Limited,October to December 2017
The National Farmers? Union,Portland PR Limited,April to June 2017
The National Farmers? Union,Portland PR Limited,April to June 2018
The National Farmers? Union,Portland PR Limited,October to December 2016
The Scout Association,Portland PR Limited,April to June 2018
The Scout Association,Portland PR Limited,January to March 2018
The Scout Association,Portland PR Limited,October to December 2017
Uber,Portland PR Limited,April to June 2017
Uber,Portland PR Limited,January to March 2018
Uber,Portland PR Limited,July to September 2017
Uber,Portland PR Limited,October to December 2017
Vertex,Portland PR Limited,July to September 2018
Visa,Portland PR Limited,July to September 2018
William Hill,Portland PR Limited,April to June 2015
William Hill,Portland PR Limited,April to June 2016
William Hill,Portland PR Limited,April to June 2017
William Hill,Portland PR Limited,April to June 2018
William Hill,Portland PR Limited,January to March 2015
William Hill,Portland PR Limited,January to March 2016
William Hill,Portland PR Limited,July to September 2015
William Hill,Portland PR Limited,July to September 2016
William Hill,Portland PR Limited,July to September 2017
William Hill,Portland PR Limited,October to December 2015
William Hill,Portland PR Limited,October to December 2016
Wimbledon,Portland PR Limited,January to March 2018
British Pharmacological Society,PricewaterhouseCoopers LLP,October to December 2016
Official Receiver,PricewaterhouseCoopers LLP,April to June 2018
Official Receiver,PricewaterhouseCoopers LLP,January to March 2018
Official Receiver,PricewaterhouseCoopers LLP,July to September 2018
Pharmaceutical Services Negotiating Committee,PricewaterhouseCoopers LLP,July to September 2016
Tata Steel,PricewaterhouseCoopers LLP,April to June 2016
Drinkaware,Principle Affairs Ltd,April to June 2016
Jo's Cervical Cancer Trust,Principle Affairs Ltd,April to June 2017
Jo's Cervical Cancer Trust,Principle Affairs Ltd,January to March 2017
Jo's Cervical Cancer Trust,Principle Affairs Ltd,January to March 2018
Jo's Cervical Cancer Trust,Principle Affairs Ltd,October to December 2017
London Joint Working Group on Substance Misuse & Hepatitis C (LJWG),Principle Affairs Ltd,April to June 2018
London Joint Working Group on Substance Misuse & Hepatitis C (LJWG),Principle Affairs Ltd,July to September 2017
The Hepatitis C Trust,Principle Affairs Ltd,April to June 2016
The Hepatitis C Trust,Principle Affairs Ltd,April to June 2017
The Hepatitis C Trust,Principle Affairs Ltd,April to June 2018
The Hepatitis C Trust,Principle Affairs Ltd,January to March 2017
The Hepatitis C Trust,Principle Affairs Ltd,January to March 2018
The Hepatitis C Trust,Principle Affairs Ltd,July to September 2017
The Hepatitis C Trust,Principle Affairs Ltd,October to December 2015
The Nurture Group Network,Principle Affairs Ltd,April to June 2016
The Nurture Group Network,Principle Affairs Ltd,January to March 2016
The Nurture Group Network,Principle Affairs Ltd,July to September 2015
The Nurture Group Network,Principle Affairs Ltd,October to December 2015
BEP-ST Limited,Quatro Public Relations Ltd,April to June 2018
BEP-ST Limited,Quatro Public Relations Ltd,January to March 2018
BEP-ST Limited,Quatro Public Relations Ltd,July to September 2018
Bovis Homes,Quatro Public Relations Ltd,April to June 2018
Bovis Homes,Quatro Public Relations Ltd,January to March 2018
Bovis Homes,Quatro Public Relations Ltd,July to September 2018
Bovis Homes,Quatro Public Relations Ltd,October to December 2017
BSW,Quatro Public Relations Ltd,October to December 2017
BSW Timber,Quatro Public Relations Ltd,April to June 2018
BSW Timber,Quatro Public Relations Ltd,January to March 2018
BSW Timber,Quatro Public Relations Ltd,July to September 2018
BWPIF,Quatro Public Relations Ltd,April to June 2018
BWPIF,Quatro Public Relations Ltd,January to March 2018
BWPIF,Quatro Public Relations Ltd,July to September 2018
BWPIF,Quatro Public Relations Ltd,October to December 2017
Lotteries Council,Quatro Public Relations Ltd,April to June 2018
Lotteries Council,Quatro Public Relations Ltd,January to March 2018
Lotteries Council,Quatro Public Relations Ltd,July to September 2018
Lotteries Council,Quatro Public Relations Ltd,October to December 2017
NEC,Quatro Public Relations Ltd,April to June 2018
NEC,Quatro Public Relations Ltd,January to March 2018
NEC,Quatro Public Relations Ltd,October to December 2017
PRISM,Quatro Public Relations Ltd,October to December 2017
C2FO,Quiller Consultants,October to December 2015
URS E&C UK,Quiller Consultants,October to December 2015
British Entertainment Industry Radio Group,Ranelagh Ltd,October to December 2016
All Party Parliamentary Group on Fixed Odds Betting Terminals,ResPublica Trust Limited,January to March 2018
Belfast City Council,ResPublica Trust Limited,April to June 2016
Belfast City Council,ResPublica Trust Limited,July to September 2016
Belfast City Council,ResPublica Trust Limited,October to December 2016
Big Innovation Centre,ResPublica Trust Limited,July to September 2017
Campaign for Fairer Gambling,ResPublica Trust Limited,January to March 2018
Campaign for Fairer Gambling,ResPublica Trust Limited,July to September 2017
CityFibre Holdings Ltd,ResPublica Trust Limited,July to September 2017
County Councils Network,ResPublica Trust Limited,July to September 2017
ESB Asset Development UK Ltd,ResPublica Trust Limited,July to September 2017
Hastoe Housing Association,ResPublica Trust Limited,July to September 2017
Horizon Nuclear Power,ResPublica Trust Limited,July to September 2017
Knowsley Council,ResPublica Trust Limited,April to June 2016
Knowsley Council,ResPublica Trust Limited,July to September 2016
Lightsource Renewable Energy Holdings Ltd,ResPublica Trust Limited,July to September 2017
Nestle UK Limited,ResPublica Trust Limited,July to September 2017
Prospect Union,ResPublica Trust Limited,July to September 2017
Royal Institution of Chartered Surveyors (RICS),ResPublica Trust Limited,July to September 2017
Salary Finance,ResPublica Trust Limited,July to September 2018
Salford City Council,ResPublica Trust Limited,January to March 2018
Smart Energy GB,ResPublica Trust Limited,July to September 2017
TechUK,ResPublica Trust Limited,July to September 2017
The British Poultry Council,ResPublica Trust Limited,July to September 2018
Tideway,ResPublica Trust Limited,July to September 2016
Tideway,ResPublica Trust Limited,October to December 2016
TUSNE (Trade Unionists for Safe Nuclear Energy),ResPublica Trust Limited,July to September 2017
WSP Management Services,ResPublica Trust Limited,July to September 2018
Amateur Motorcycle Association,Rowan Public Affairs Limited,April to June 2016
Amateur Motorcycle Association,Rowan Public Affairs Limited,April to June 2017
Amateur Motorcycle Association,Rowan Public Affairs Limited,April to June 2018
Amateur Motorcycle Association,Rowan Public Affairs Limited,January to March 2015
Amateur Motorcycle Association,Rowan Public Affairs Limited,January to March 2016
Amateur Motorcycle Association,Rowan Public Affairs Limited,January to March 2017
Amateur Motorcycle Association,Rowan Public Affairs Limited,January to March 2018
Amateur Motorcycle Association,Rowan Public Affairs Limited,July to September 2016
Amateur Motorcycle Association,Rowan Public Affairs Limited,July to September 2017
Amateur Motorcycle Association,Rowan Public Affairs Limited,July to September 2018
Amateur Motorcycle Association,Rowan Public Affairs Limited,October to December 2016
Amateur Motorcycle Association,Rowan Public Affairs Limited,October to December 2017
Auto Cycle Union,Rowan Public Affairs Limited,April to June 2016
Auto Cycle Union,Rowan Public Affairs Limited,April to June 2017
Auto Cycle Union,Rowan Public Affairs Limited,April to June 2018
Auto Cycle Union,Rowan Public Affairs Limited,January to March 2015
Auto Cycle Union,Rowan Public Affairs Limited,January to March 2016
Auto Cycle Union,Rowan Public Affairs Limited,January to March 2017
Auto Cycle Union,Rowan Public Affairs Limited,January to March 2018
Auto Cycle Union,Rowan Public Affairs Limited,July to September 2016
Auto Cycle Union,Rowan Public Affairs Limited,July to September 2017
Auto Cycle Union,Rowan Public Affairs Limited,July to September 2018
Auto Cycle Union,Rowan Public Affairs Limited,October to December 2016
Auto Cycle Union,Rowan Public Affairs Limited,October to December 2017
Motor Cycle Industry Association,Rowan Public Affairs Limited,April to June 2015
Motor Cycle Industry Association,Rowan Public Affairs Limited,April to June 2016
Motor Cycle Industry Association,Rowan Public Affairs Limited,April to June 2017
Motor Cycle Industry Association,Rowan Public Affairs Limited,April to June 2018
Motor Cycle Industry Association,Rowan Public Affairs Limited,January to March 2015
Motor Cycle Industry Association,Rowan Public Affairs Limited,January to March 2016
Motor Cycle Industry Association,Rowan Public Affairs Limited,January to March 2017
Motor Cycle Industry Association,Rowan Public Affairs Limited,January to March 2018
Motor Cycle Industry Association,Rowan Public Affairs Limited,July to September 2015
Motor Cycle Industry Association,Rowan Public Affairs Limited,July to September 2016
Motor Cycle Industry Association,Rowan Public Affairs Limited,July to September 2017
Motor Cycle Industry Association,Rowan Public Affairs Limited,July to September 2018
Motor Cycle Industry Association,Rowan Public Affairs Limited,October to December 2015
Motor Cycle Industry Association,Rowan Public Affairs Limited,October to December 2016
Motor Cycle Industry Association,Rowan Public Affairs Limited,October to December 2017
Abbott,RPP Group UK Ltd,April to June 2016
Abbott,RPP Group UK Ltd,April to June 2017
Abbott,RPP Group UK Ltd,January to March 2016
Abbott,RPP Group UK Ltd,January to March 2017
Abbott,RPP Group UK Ltd,July to September 2015
Abbott,RPP Group UK Ltd,July to September 2016
Abbott,RPP Group UK Ltd,July to September 2017
Abbott,RPP Group UK Ltd,October to December 2015
Abbott,RPP Group UK Ltd,October to December 2016
Abbott,RPP Group UK Ltd,October to December 2017
Bausch & Lomb,RPP Group UK Ltd,April to June 2016
Bausch & Lomb,RPP Group UK Ltd,April to June 2017
Bausch & Lomb,RPP Group UK Ltd,April to June 2018
Bausch & Lomb,RPP Group UK Ltd,January to March 2017
Bausch & Lomb,RPP Group UK Ltd,January to March 2018
Bausch & Lomb,RPP Group UK Ltd,July to September 2016
Bausch & Lomb,RPP Group UK Ltd,July to September 2017
Bausch & Lomb,RPP Group UK Ltd,July to September 2018
Bausch & Lomb,RPP Group UK Ltd,October to December 2016
Bausch & Lomb,RPP Group UK Ltd,October to December 2017
Bristol-Myers Squibb,RPP Group UK Ltd,April to June 2016
IPOPI,RPP Group UK Ltd,April to June 2017
IPOPI,RPP Group UK Ltd,July to September 2017
IPOPI,RPP Group UK Ltd,October to December 2017
Shire Pharmaceuticals,RPP Group UK Ltd,April to June 2017
Shire Pharmaceuticals,RPP Group UK Ltd,January to March 2018
Shire Pharmaceuticals,RPP Group UK Ltd,July to September 2017
Shire Pharmaceuticals,RPP Group UK Ltd,October to December 2017
TB Caucus,RPP Group UK Ltd,July to September 2016
TB Caucus,RPP Group UK Ltd,October to December 2016
Terumo BCT,RPP Group UK Ltd,April to June 2016
Terumo BCT,RPP Group UK Ltd,April to June 2017
Terumo BCT,RPP Group UK Ltd,April to June 2018
Terumo BCT,RPP Group UK Ltd,January to March 2016
Terumo BCT,RPP Group UK Ltd,January to March 2017
Terumo BCT,RPP Group UK Ltd,January to March 2018
Terumo BCT,RPP Group UK Ltd,July to September 2015
Terumo BCT,RPP Group UK Ltd,July to September 2016
Terumo BCT,RPP Group UK Ltd,July to September 2017
Terumo BCT,RPP Group UK Ltd,July to September 2018
Terumo BCT,RPP Group UK Ltd,October to December 2015
Terumo BCT,RPP Group UK Ltd,October to December 2016
Terumo BCT,RPP Group UK Ltd,October to December 2017
On The Hook,Seahorse Environmental Communications,July to September 2018
Arriva,Sovereign Strategy,April to June 2018
Arriva,Sovereign Strategy,July to September 2018
Arriva,Sovereign Strategy,July to September 2018
Bloomberg LP,Sovereign Strategy,April to June 2016
Bloomberg LP,Sovereign Strategy,April to June 2017
Bloomberg LP,Sovereign Strategy,April to June 2018
Bloomberg LP,Sovereign Strategy,January to March 2015
Bloomberg LP,Sovereign Strategy,January to March 2016
Bloomberg LP,Sovereign Strategy,January to March 2017
Bloomberg LP,Sovereign Strategy,January to March 2018
Bloomberg LP,Sovereign Strategy,July to September 2015
Bloomberg LP,Sovereign Strategy,July to September 2016
Bloomberg LP,Sovereign Strategy,July to September 2017
Bloomberg LP,Sovereign Strategy,July to September 2018
Bloomberg LP,Sovereign Strategy,July to September 2018
Bloomberg LP,Sovereign Strategy,October to December 2015
Bloomberg LP,Sovereign Strategy,October to December 2016
Bloomberg LP,Sovereign Strategy,October to December 2017
Cantor Fitzgerald,Sovereign Strategy,April to June 2016
Cantor Fitzgerald,Sovereign Strategy,April to June 2017
Cantor Fitzgerald,Sovereign Strategy,April to June 2018
Cantor Fitzgerald,Sovereign Strategy,January to March 2016
Cantor Fitzgerald,Sovereign Strategy,January to March 2017
Cantor Fitzgerald,Sovereign Strategy,January to March 2018
Cantor Fitzgerald,Sovereign Strategy,July to September 2015
Cantor Fitzgerald,Sovereign Strategy,July to September 2016
Cantor Fitzgerald,Sovereign Strategy,July to September 2017
Cantor Fitzgerald,Sovereign Strategy,July to September 2018
Cantor Fitzgerald,Sovereign Strategy,October to December 2015
Cantor Fitzgerald,Sovereign Strategy,October to December 2016
Cantor Fitzgerald,Sovereign Strategy,October to December 2017
CEG (Commercial Estates Group),Sovereign Strategy,April to June 2016
CEG (Commercial Estates Group),Sovereign Strategy,January to March 2016
CEG (Commercial Estates Group),Sovereign Strategy,July to September 2016
CEG (Commercial Estates Group),Sovereign Strategy,October to December 2015
Cosworth,Sovereign Strategy,April to June 2016
Cosworth,Sovereign Strategy,April to June 2017
Cosworth,Sovereign Strategy,April to June 2018
Cosworth,Sovereign Strategy,January to March 2016
Cosworth,Sovereign Strategy,January to March 2017
Cosworth,Sovereign Strategy,January to March 2018
Cosworth,Sovereign Strategy,July to September 2015
Cosworth,Sovereign Strategy,July to September 2016
Cosworth,Sovereign Strategy,July to September 2017
Cosworth,Sovereign Strategy,October to December 2015
Cosworth,Sovereign Strategy,October to December 2016
Cosworth,Sovereign Strategy,October to December 2017
Dun and Bradstreet,Sovereign Strategy,April to June 2018
Dun and Bradstreet,Sovereign Strategy,January to March 2018
Dun and Bradstreet,Sovereign Strategy,July to September 2018
Dun and Bradstreet,Sovereign Strategy,July to September 2018
Embassy of Japan,Sovereign Strategy,July to September 2015
Embassy of Japan,Sovereign Strategy,October to December 2015
Government of Kosovo,Sovereign Strategy,April to June 2016
Government of Kosovo,Sovereign Strategy,January to March 2016
Government of Kosovo,Sovereign Strategy,January to March 2018
Government of Kosovo,Sovereign Strategy,July to September 2015
Government of Kosovo,Sovereign Strategy,July to September 2016
Government of Kosovo,Sovereign Strategy,July to September 2017
Government of Kosovo,Sovereign Strategy,October to December 2015
Hogan Lovells,Sovereign Strategy,July to September 2018
Intuit,Sovereign Strategy,April to June 2016
Intuit,Sovereign Strategy,April to June 2017
Intuit,Sovereign Strategy,April to June 2018
Intuit,Sovereign Strategy,January to March 2016
Intuit,Sovereign Strategy,January to March 2017
Intuit,Sovereign Strategy,January to March 2018
Intuit,Sovereign Strategy,July to September 2015
Intuit,Sovereign Strategy,July to September 2016
Intuit,Sovereign Strategy,July to September 2017
Intuit,Sovereign Strategy,July to September 2018
Intuit,Sovereign Strategy,July to September 2018
Intuit,Sovereign Strategy,October to December 2015
Intuit,Sovereign Strategy,October to December 2016
Intuit,Sovereign Strategy,October to December 2017
London Midland,Sovereign Strategy,April to June 2016
London Midland,Sovereign Strategy,April to June 2017
London Midland,Sovereign Strategy,January to March 2017
London Midland,Sovereign Strategy,July to September 2016
London Midland,Sovereign Strategy,July to September 2017
London Midland,Sovereign Strategy,October to December 2016
London Midland,Sovereign Strategy,October to December 2017
MAXIMUS,Sovereign Strategy,January to March 2017
MAXIMUS,Sovereign Strategy,July to September 2017
