name,purpose,mmname,position,party
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,Baroness McIntosh of Pickering,Co-Chair,Conservative
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,Neil Parish,Vice Chair,Conservative
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,The Earl of Selborne,Vice Chair,Conservative
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Sir William Cash,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Sir Bernard Jenkin,Vice Chair,Conservative
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Lord Alton of Liverpool,Officer,Crossbench
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Kelvin Hopkins,Officer,Independent
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,David Hanson,Officer,Labour
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Dr Matthew Offord,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Mrs Sheryll Murray,Vice Chair,Conservative
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Lord Storey,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Mrs Sharon Hodgson,Vice Chair,Labour
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Mr Tanmanjeet Singh Dhesi,Vice Chair,Labour
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",John Grogan,Chair & Registered Contact,Labour
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",John Cryer,Vice Chair,Labour
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Richard Benyon,Vice Chair,Conservative
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Michael Fabricant,Vice Chair,Conservative
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Mr Jonathan Lord,Vice Chair,Conservative
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Lord German,Vice Chair,Liberal Democrat
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Conor McGinn,Vice Chair,Labour
All-Party Parliamentary Waterways Group,"To consider matters relating to navigable (and formerly navigable) rivers, canals, estuaries and lakes in the UK, including the potential social, economic and cultural impact of the regeneration of those waterways and extension of the system.",Mr Ranil Jayawardena,Vice Chair,Conservative
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Chris Ruane,Chair & Registered Contact,Labour
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Sir Peter Bottomley,Co-Chair,Conservative
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Lord Layard,Vice Chair,Labour
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Lord O'Donnell,Vice Chair,Crossbench
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Baroness Tyler of Enfield,Vice Chair,Liberal Democrat
All-Party Parliamentary Grop on Wellbeing Economics,To share the latest in wellbeing science with parliamentarians and convene experts and evidence in order to inform policies to improve wellbeing in the UK.,Helen Goodman,Officer,Labour
All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Sir Edward Davey,Chair & Registered Contact,Liberal Democrat
All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Alan Mak,Vice Chair,Conservative
All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Stephen Morgan,Vice Chair,Labour
All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Mrs Maria Miller,Treasurer,Conservative
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,John Stevenson,Chair & Registered Contact,Conservative
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Rosie Cooper,Vice-Chair,Labour
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Iain Stewart,Vice-Chair,Conservative
West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,Lord Foulkes of Cumnock,Secretary,Labour
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Ian Austin,Chair & Registered Contact,Labour
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Jeremy Lefroy,Co-Chair,Conservative
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Eddie Hughes,Vice-Chair,Conservative
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Steve McCabe,Vice-Chair,Labour
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Ruth Smeeth,Vice-Chair,Labour
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Mike Wood,Vice-Chair,Conservative
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Preet Kaur Gill,Vice-Chair,Labour (Co-op)
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Mark Pawsey,Treasurer,Conservative
All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders – the mayor and those in local government, the private sector and social enterprise – to help maximise future investment in the region for the benefit of all its local communities.",Jack Dromey,Secretary,Labour
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Mr Tanmanjeet Singh Dhesi,Chair & Registered Contact,Labour
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Richard Benyon,Co-Chair,Conservative
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Geraint Davies,Secretary,Labour (Co-op)
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Luke Pollard,Treasurer,Labour (Co-op)
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Kevin Foster,Vice Chair,Conservative
All-Party Parliamentary Group on the Western Rail Link to Heathrow,To support the case for and delivery of the Western Rail Link to Heathrow.,Christina Rees,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Stephen Kerr,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Baroness Kramer,Co-Chair,Liberal Democrat
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Norman Lamb,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Anneliese Dodds,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Mr Andrew Mitchell,Vice Chair,Conservative
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Gavin Newlands,Chair & Registered Contact,Scottish National Party
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Tracy Brabin,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Ben Lake,Vice Chair,Plaid Cymru
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Alan Brown,Officer,Scottish National Party
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Alison Thewliss,Officer,Scottish National Party
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Joanna Cherry,Officer,Scottish National Party
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Baroness Burt of Solihull,Officer,Liberal Democrat
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,Andrew Bowie,Officer,Conservative
All-Party Parliamentary Group for White Ribbon UK,To engage parliamentarians (particularly male parliamentarians) in raising awareness and challenging male violence against women and girls in all forms.,David Duguid,Officer,Conservative
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Neil Coyle,Chair & Registered Contact,Labour
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Albert Owen,Vice-Chair,Labour
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Mrs Sharon Hodgson,Vice-Chair,Labour
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Bill Grant,Vice-Chair,Conservative
All-Party Parliamentary group on Wine and Spirits,"To promote and inform on the economic and commercial benefits of the UK wine and spirit trade; to inform and stimulate debate on issues of relevance to the trade and to consumers, including English wine and British spirits; and to introduce parliamentarians to members of the trade from their constituencies.",Lord Blencathra,Vice-Chair,Conservative
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Craig Tracey,Chair & Registered Contact,Conservative
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Mrs Sharon Hodgson,Deputy Chair,Labour
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Gillian Keegan,Officer,Conservative
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Eddie Hughes,Officer,Conservative
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Rachel Maclean,Officer,Conservative
Women and Enterprise All-Party Parliamentary Group,This group works to ensure the challenges and opportunities for women entrepreneurs are considered and promoted cross party and across both houses.,Baroness Burt of Solihull,Officer,Liberal Democrat
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Jess Phillips,Chair & Registered Contact,Labour
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Gillian Keegan,Co-Chair,Conservative
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Tracy Brabin,Vice-Chair,Labour (Co-op)
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Deidre Brock,Vice-Chair,Scottish National Party
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Kirstene Hair,Vice-Chair,Conservative
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Uddin,Vice-Chair,Non-affiliated
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Garden of Frognal,Vice-Chair,Liberal Democrat
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Prosser,Vice-Chair,Labour
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Burt of Solihull,Vice-Chair,Liberal Democrat
Women and Work All-Party Parliamentary Group,To promote discussion around women and work.,Baroness Goudie,Vice-Chair,Labour
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Vicky Ford,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Julie Elliott,Vice Chair,Labour
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Dame Cheryl Gillan,Vice Chair,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Baroness Jenkin of Kennington,Vice Chair,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Baroness Burt of Solihull,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Paul Masterton,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Baroness Howe of Idlicote,Officer,Crossbench
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Mary Robinson,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Trudy Harrison,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Mrs Kemi Badenoch,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Preet Kaur Gill,Officer,Labour (Co-op)
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Rachel Reeves,Officer,Labour
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Helen Whately,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Matt Warman,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Maria Caulfield,Officer,Conservative
All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Dr Caroline Johnson,Officer,Conservative
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Victoria Prentis,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Baroness Corston,Co-Chair,Labour
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Kate Green,Co-Chair,Labour
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Baroness Fall,Officer,Conservative
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Baroness Hamwee,Officer,Liberal Democrat
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Sarah Champion,Officer,Labour
All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Dr Roberta Blackman-Woods,Officer,Labour
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Ruth Cadbury,Chair & Registered Contact,Labour
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Baroness Randerson,Vice Chair,Liberal Democrat
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Baroness Prosser,Officer,Labour
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Drew Hendry,Officer,Scottish National Party
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Sir Peter Bottomley,Officer,Conservative
All-Party Parliamentary Group for Women in Transport,To provide a forum to discuss and overcome the under-representation of women in transport by promoting best practice examples of employers leading the way in gender diversifying their workforce.,Jess Phillips,Officer,Labour
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Helen Whately,Chair & Registered Contact,Conservative
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Baroness Hodgson of Abinger,Co-Chair,Conservative
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Baroness Stern,Vice Chair,Crossbench
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Mrs Madeleine Moon,Vice Chair,Labour
"All-Party Parliamentary Group on Women, Peace and Security","To provide a forum for the discussion and analysis of issues relating to women, peace and security, bringing together civil society, policy-makers and parliamentarians. Focused on UK implementation of Security Council Resolution 1325, the APPG promotes the vital role women play in peacebuilding, conflict resolution and post-conflict reconstruction globally.",Baroness Prosser,Vice Chair,Labour
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Paula Sherriff,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Paul Scully,Vice Chair,Conservative
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Anne-Marie Trevelyan,Vice Chair,Conservative
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Liz McInnes,Vice Chair,Labour
All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Alison Thewliss,Vice Chair,Scottish National Party
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Stephen Kerr,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Bill Grant,Vice Chair,Conservative
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Alan Brown,Vice Chair,Scottish National Party
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,John Stevenson,Vice Chair,Conservative
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Drew Hendry,Vice Chair,Scottish National Party
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Jim Shannon,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Susan Elan Jones,Vice Chair,Labour
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Alison Thewliss,Chair & Registered Contact,Scottish National Party
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",David Hanson,Vice Chair,Labour
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Kevin Foster,Officer,Conservative
All-Party Parliamentary Group on Working at Height,"Falls from height and falling objects from height account for the highest number of preventable fatalities and injuries across all sectors in UK industry. The APPG will seek to understand the root causes and propose effective, sensible measures to reduce this toll and send people safely home from work.",Hannah Bardell,Officer,Scottish National Party
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Jeremy Lefroy,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Mr Chris Leslie,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Liam Byrne,Vice Chair,Labour
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Lord McConnell of Glenscorrodale,Vice Chair,Labour
All-Party Parliamentary Group on the World Bank and International Monetary Fund,"To raise awareness among parliamentarians about the work of the IMF and World Bank, including its contributions to raising living standards, long term economic development and poverty reduction.",Fiona Bruce,Vice Chair,Conservative
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Mr John Whittingdale,Chair & Registered Contact,Conservative
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Pete Wishart,Vice Chair,Scottish National Party
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Lord Clement-Jones,Vice Chair,Liberal Democrat
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Giles Watling,Vice Chair,Conservative
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Lord Dubs,Treasurer,Labour
All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Baroness Benjamin,Secretary,Liberal Democrat
